name,url,institutions,countries,country,region
Hanfei Lin,https://dl.acm.org/profile/99659194118,['East China Normal University'],['China'],China,Asia
Yitao Liang,https://dl.acm.org/profile/99659194271,['East China Normal University'],['China'],China,Asia
Sangbong Yoo,https://dl.acm.org/profile/99658989829,['Sejong University'],['South Korea'],South Korea,Asia
Hongryeol Ryu,https://dl.acm.org/profile/99658730770,['Yonsei University'],['South Korea'],South Korea,Asia
Taekyoung ‘Taekyoung’ Kwon,https://dl.acm.org/profile/81451594353,"['Sejong University', 'Seoul National University', 'Yonsei University', 'The Ohio State University']","['South Korea', 'South Korea', 'South Korea', 'United States']",South Korea,Asia
Nils Rodrigues,https://dl.acm.org/profile/99659194260,['University of Stuttgart'],['Germany'],Germany,Europe
Rudolf Netzel,https://dl.acm.org/profile/81558361656,['University of Stuttgart'],['Germany'],Germany,Europe
Kazi Riaz Ullah,https://dl.acm.org/profile/99659194145,['University of Stuttgart'],['Germany'],Germany,Europe
Alexander Schultz,https://dl.acm.org/profile/99659194188,['Fraunhofer Institute for Solar Energy Systems ISE'],['Germany'],Germany,Europe
Bruno Burger,https://dl.acm.org/profile/81440598602,['Fraunhofer Institute for Solar Energy Systems ISE'],['Germany'],Germany,Europe
Daniel Weiskopf,https://dl.acm.org/profile/81548014780,"['University of Stuttgart', 'University of Konstanz', 'Simon Fraser University']","['Germany', 'Germany', 'Canada']",Germany,Europe
Kumaripaba Athukorala,https://dl.acm.org/profile/81500651305,"['Aalto University', 'University of Helsinki', 'Helsinki Institute for Information Technology', 'University of Oulu']","['Finland', 'Finland', 'Finland', 'Finland']",Finland,Europe
Chao An,https://dl.acm.org/profile/83058808757,"['University of Helsinki', 'Aalto University']","['Finland', 'Finland']",Finland,Europe
Aki Reijonen,https://dl.acm.org/profile/84459914957,"['University of Helsinki', 'Helsinki Institute for Information Technology']","['Finland', 'Finland']",Finland,Europe
Jaakko Peltonen,https://dl.acm.org/profile/81100125974,"['University of Tampere', 'Aalto University', 'Helsinki Institute for Information Technology']","['Finland', 'Finland', 'Finland']",Finland,Europe
Christian Bors,https://dl.acm.org/profile/99659194168,['Vienna University of Technology'],['Austria'],Austria,Europe
Markus Bögl,https://dl.acm.org/profile/81474695092,['Vienna University of Technology'],['Austria'],Austria,Europe
Theresia Gschwandtner,https://dl.acm.org/profile/81375620061,['Vienna University of Technology'],['Austria'],Austria,Europe
Silvia Miksch,https://dl.acm.org/profile/81100255622,"['Vienna University of Technology', 'Danube University Krems']","['Austria', 'Austria']",Austria,Europe
Kazuo Misue,https://dl.acm.org/profile/81100517120,"['University of Tsukuba', 'Fujitsu Ltd.']","['Japan', 'Japan']",Japan,Asia
Kosuke Otake,https://dl.acm.org/profile/99659194175,['University of Tsukuba'],['Japan'],Japan,Asia
Takahiro Saito,https://dl.acm.org/profile/99659194114,['Fujitsu Ltd.'],['Japan'],Japan,Asia
Jieliang Luo,https://dl.acm.org/profile/99659820717,,,,
Donghao Ren,https://dl.acm.org/profile/84460132057,"['University of California, Santa Barbara']",['United States'],United States,North America
George Legrady,https://dl.acm.org/profile/81320492170,"['University of California, Santa Barbara']",['United States'],United States,North America
Congmin Li,https://dl.acm.org/profile/99659194233,['Tianjin University'],['China'],China,Asia
Boyi Li,https://dl.acm.org/profile/99659194283,['University of Toronto'],['Canada'],Canada,North America
Amontep Wijitcharoen,https://dl.acm.org/profile/99659194157,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Jonathan Hoyin Chan,https://dl.acm.org/profile/81413599918,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Simon James Fong,https://dl.acm.org/profile/81339499259,"['University of Macau', 'Chinese Academy of Sciences', 'Nanyang Technological University']","['Macao', 'China', 'Singapore']",Macao,Asia
Robert P. Biuk-Aghai,https://dl.acm.org/profile/81100203521,['University of Macau'],['Macao'],Macao,Asia
Scarlet Tin,https://dl.acm.org/profile/99659194248,['University of Macau'],['Macao'],Macao,Asia
Yihang Bo,https://dl.acm.org/profile/99659194158,,,,
Yi Yang,https://dl.acm.org/profile/99659194162,['Chinese Academy of Sciences'],['China'],China,Asia
Xianglei Zhu,https://dl.acm.org/profile/99659194208,['China Automotive Technology and Research Center Co. Ltd'],['China'],China,Asia
Shuai Zhao,https://dl.acm.org/profile/99659194272,['China Automotive Technology and Research Center Co. Ltd'],['China'],China,Asia
Quan Wen,https://dl.acm.org/profile/99659194136,['China Automotive Technology and Research Center Co. Ltd'],['China'],China,Asia
Wenjun Guo,https://dl.acm.org/profile/84459002557,['Ajou University'],['South Korea'],South Korea,Asia
Seungwook Kim,https://dl.acm.org/profile/99659194257,['Seoul National University'],['South Korea'],South Korea,Asia
Sangjoon Son,https://dl.acm.org/profile/99659178205,['Ajou University'],['South Korea'],South Korea,Asia
Changhyung Hong,https://dl.acm.org/profile/99659178107,['Ajou University'],['South Korea'],South Korea,Asia
Hyunjung (Helen) Shin,https://dl.acm.org/profile/81100157592,"['Ajou University', 'University of Tübingen', 'Friedrich Miescher Laboratory', 'Seoul National University', 'Max Planck Institute for Biological Cybernetics']","['South Korea', 'Germany', 'Germany', 'South Korea', 'Germany']",South Korea,Asia
Thanyathorn Thanapattheerakul,https://dl.acm.org/profile/99659127931,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Jaturong Kongmanee,https://dl.acm.org/profile/99659128019,"['Michigan State University', 'Texas Tech University', 'King Mongkuts University of Technology Thonburi']","['United States', 'United States', 'Thailand']",United States,North America
Saila Shama,https://dl.acm.org/profile/99659194254,['University of Toronto'],['Canada'],Canada,North America
Philip Lu,https://dl.acm.org/profile/99659194245,['University of Toronto'],['Canada'],Canada,North America
Narumol Doungpan,https://dl.acm.org/profile/99659194291,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Asawin Meechai,https://dl.acm.org/profile/81384616279,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Jiafan Li,https://dl.acm.org/profile/99659097484,['East China Normal University'],['China'],China,Asia
Zhijie Qiao,https://dl.acm.org/profile/99659194115,['East China Normal University'],['China'],China,Asia
Junjie Wang,https://dl.acm.org/profile/99659194278,['East China Normal University'],['China'],China,Asia
Wutthipong Kongburan,https://dl.acm.org/profile/99659154692,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Praisan Padungweang,https://dl.acm.org/profile/81442613236,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Worarat Krathu,https://dl.acm.org/profile/81550167556,"['King Mongkuts University of Technology Thonburi', 'Vienna University of Technology']","['Thailand', 'Austria']",Thailand,Asia
Luca Chech,https://dl.acm.org/profile/83058634857,['University of Padova'],['Italy'],Italy,Europe
Marta Vasilieva,https://dl.acm.org/profile/99659194161,['University of Helsinki'],['Finland'],Finland,Europe
Lorenzo Papa,https://dl.acm.org/profile/99659194174,['University of Padova'],['Italy'],Italy,Europe
Luciano Gamberini,https://dl.acm.org/profile/81100210885,['University of Padova'],['Italy'],Italy,Europe
Jiajing Zhang,https://dl.acm.org/profile/99659185901,['Zhejiang University'],['China'],China,Asia
Ren Peng,https://dl.acm.org/profile/81466642306,"['Zhejiang University', 'School of Computer and Computing Science']","['China', 'China']",China,Asia
Jinhui Yu,https://dl.acm.org/profile/81381602769,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']","['China', 'China']",China,Asia
Denise Junger,https://dl.acm.org/profile/99659194267,['University of Stuttgart'],['Germany'],Germany,Europe
Isabel Hagen,https://dl.acm.org/profile/99659194244,['University of Stuttgart'],['Germany'],Germany,Europe
Robin Horst,https://dl.acm.org/profile/99659194217,['University of Stuttgart'],['Germany'],Germany,Europe
Lukas Brand,https://dl.acm.org/profile/99659194195,"['Landshut University of Applied Sciences', 'University of Erlangen-Nuremberg', 'University of Stuttgart']","['Germany', 'Germany', 'Germany']",Germany,Europe
Armin Müller,https://dl.acm.org/profile/99659194159,['University of Stuttgart'],['Germany'],Germany,Europe
Benjamin Weinert,https://dl.acm.org/profile/99659194207,"['University of Oldenburg', 'University of Stuttgart']","['Germany', 'Germany']",Germany,Europe
Patrick Cheong-Iao Pang,https://dl.acm.org/profile/99658770790,"['School of Computing and Information Systems', 'University of Melbourne']","['Australia', 'Australia']",Australia,Oceania
Bin Pang,https://dl.acm.org/profile/99659194227,['University of Macau'],['Macao'],Macao,Asia
Dominique Tranquille,https://dl.acm.org/profile/99659194112,['University of Brighton'],['United Kingdom'],United Kingdom,Europe
Gem Stapleton,https://dl.acm.org/profile/81339530296,"['University of Brighton', 'University of Kent']","['United Kingdom', 'United Kingdom']",United Kingdom,Europe
Jim Burton,https://dl.acm.org/profile/81384617071,['University of Brighton'],['United Kingdom'],United Kingdom,Europe
Peter J Rodgers,https://dl.acm.org/profile/81100642599,['University of Kent'],['United Kingdom'],United Kingdom,Europe
Thomas Gründer,https://dl.acm.org/profile/81502795846,['Technische Universität Dresden'],['Germany'],Germany,Europe
Thomas Thom,https://dl.acm.org/profile/99659194141,,,,
Martin Kleinsteuber,https://dl.acm.org/profile/81479655070,"['Technical University of Munich', 'Mercateo Deutschland AG', 'Ludwig-Maximilians-University Munich', 'TUM Department of Electrical and Computer Engineering', 'The Australian National University', 'CSIRO Data61', 'Julius-Maximilian University of Würzburg']","['Germany', 'Germany', 'Germany', 'Germany', 'Australia', 'Australia', 'Germany']",Germany,Europe
Alexander Maasch,https://dl.acm.org/profile/99659194167,,,,
Yuri Sato,https://dl.acm.org/profile/99659194250,['University of Brighton'],['United Kingdom'],United Kingdom,Europe
Mateja Jamnik,https://dl.acm.org/profile/81100097678,"['University of Cambridge', 'Department of Computer Science and Technology', 'The University of Edinburgh']","['United Kingdom', 'United Kingdom', 'United Kingdom']",United Kingdom,Europe
Zohreh Shams,https://dl.acm.org/profile/99658750308,"['University of Bath', 'University of Cambridge']","['United Kingdom', 'United Kingdom']",United Kingdom,Europe
Andrew Blake,https://dl.acm.org/profile/99658638715,['University of Brighton'],['United Kingdom'],United Kingdom,Europe
Francesco Paduano,https://dl.acm.org/profile/99659010090,['University of Illinois at Chicago'],['United States'],United States,North America
Ronak Etemadpour,https://dl.acm.org/profile/81551311756,"['City University of New York', 'Oklahoma State University - Stillwater', 'Oklahoma State University System', 'Jacobs University Bremen']","['United States', 'United States', 'United States', 'Germany']",United States,North America
Angus Graeme Forbes,https://dl.acm.org/profile/81474644982,"['University of California, Santa Cruz', 'Purdue University', 'University of Illinois at Chicago', 'The University of Arizona']","['United States', 'United States', 'United States', 'United States']",United States,North America
Yun Wang,https://dl.acm.org/profile/99659020506,['Hong Kong University of Science and Technology'],['Hong Kong'],Hong Kong,Asia
Dongyu Liu,https://dl.acm.org/profile/99659070996,"['Massachusetts Institute of Technology', 'Hong Kong University of Science and Technology']","['United States', 'Hong Kong']",United States,North America
Huamin Qu,https://dl.acm.org/profile/81100337801,"['Hong Kong University of Science and Technology', 'IEEE']","['Hong Kong', 'United States']",Hong Kong,Asia
Qiong Luo,https://dl.acm.org/profile/81339515235,"['Hong Kong University of Science and Technology', 'Tsinghua University']","['Hong Kong', 'China']",Hong Kong,Asia
Xiaojuan Ma,https://dl.acm.org/profile/81484654594,"['Hong Kong University of Science and Technology', 'University of Michigan, Ann Arbor']","['Hong Kong', 'United States']",Hong Kong,Asia
Yang Shi,https://dl.acm.org/profile/81556666156,"['Tongji University', 'Central South University']","['China', 'China']",China,Asia
Yaoxue Zhang,https://dl.acm.org/profile/81339540126,"['Tsinghua University', 'Central South University']","['China', 'China']",China,Asia
Guojun Wang,https://dl.acm.org/profile/81408600293,"['Guangzhou University', 'Central South University', 'Temple University', 'The University of Aizu', 'Hong Kong Polytechnic University']","['China', 'China', 'Italy', 'Japan', 'Hong Kong']",China,Asia
Ronghua Shi,https://dl.acm.org/profile/81470649905,['Central South University'],['China'],China,Asia
Xing Liang,https://dl.acm.org/profile/99658630885,['Arizona State University'],['United States'],United States,North America
Rainer C Splechtna,https://dl.acm.org/profile/81100655096,"['VRVis Research Center', 'University of Maryland, College Park (UMD)']","['Austria', 'United States']",Austria,Europe
Alexandra Diehl,https://dl.acm.org/profile/99658770166,"['University of Konstanz', 'University of Buenos Aires', 'University of Maryland, College Park (UMD)']","['Germany', 'Argentina', 'United States']",Germany,Europe
Mai H Elshehaly,https://dl.acm.org/profile/81554544456,"['Virginia Polytechnic Institute and State University', 'University of Maryland, College Park (UMD)', 'University of Maryland, Baltimore (UMB)']","['United States', 'United States', 'United States']",United States,North America
Claudio A Delrieux,https://dl.acm.org/profile/81544964956,"['South National University', 'University of Maryland, College Park (UMD)']","['Argentina', 'United States']",Argentina,South America
Denis Gracanin,https://dl.acm.org/profile/81100637283,"['Virginia Polytechnic Institute and State University', 'University of Maryland, College Park (UMD)']","['United States', 'United States']",United States,North America
Krešimir Matković,https://dl.acm.org/profile/81375609028,"['VRVis Research Center', 'University of Maryland, College Park (UMD)', 'IEEE']","['Austria', 'United States', 'United States']",Austria,Europe
Kouhei Yasuda,https://dl.acm.org/profile/99659068906,['The University of Tokyo'],['Japan'],Japan,Asia
Shigeo Takahashi,https://dl.acm.org/profile/81410594549,"['The University of Aizu', 'The University of Tokyo', 'IEEE']","['Japan', 'Japan', 'United States']",Japan,Asia
Hsiangyun Wu,https://dl.acm.org/profile/81440610884,"['Vienna University of Technology', 'Keio University', 'The University of Tokyo']","['Austria', 'Japan', 'Japan']",Austria,Europe
Quang Vinh Nguyen,https://dl.acm.org/profile/81100511332,"['The MARCS Institute for Brain, Behaviour and Development', 'Western Sydney University', 'University of Technology Sydney']","['Australia', 'Australia', 'Australia']",Australia,Oceania
Simeon J Simoff,https://dl.acm.org/profile/81100077710,"['Western Sydney University', 'The MARCS Institute for Brain, Behaviour and Development']","['Australia', 'Australia']",Australia,Oceania
Yu Qian,https://dl.acm.org/profile/81452599675,"['J. Craig Venter Institute', 'The University of Texas at Dallas']","['United States', 'United States']",United States,North America
Maolin Huang,https://dl.acm.org/profile/81100079792,"['University of Technology Sydney', 'Tianjin University', 'Tianjin University of Technology']","['Australia', 'China', 'China']",Australia,Oceania
Martin Röhlig,https://dl.acm.org/profile/99658770290,['University of Rostock'],['Germany'],Germany,Europe
H. Schumann,https://dl.acm.org/profile/81100094349,['University of Rostock'],['Germany'],Germany,Europe
Ruth West,https://dl.acm.org/profile/81320496219,"['University of North Texas', 'University of California, Los Angeles', 'University of California, San Diego']","['United States', 'United States', 'United States']",United States,North America
Meghan Kajihara,https://dl.acm.org/profile/99659067772,['University of North Texas'],['United States'],United States,North America
Max Parola,https://dl.acm.org/profile/99658988047,['University of North Texas'],['United States'],United States,North America
Kathryn Hays,https://dl.acm.org/profile/99659067444,['University of North Texas'],['United States'],United States,North America
Luke Hillard,https://dl.acm.org/profile/99659068485,['University of North Texas'],['United States'],United States,North America
Anne Carlew,https://dl.acm.org/profile/99659067913,['University of North Texas'],['United States'],United States,North America
Jeremey Deutsch,https://dl.acm.org/profile/99659068986,['University of North Texas'],['United States'],United States,North America
Brandon Lane,https://dl.acm.org/profile/99659068083,['University of North Texas'],['United States'],United States,North America
Michelle Holloway,https://dl.acm.org/profile/99658628447,['Washington University in St. Louis'],['United States'],United States,North America
Brendan John,https://dl.acm.org/profile/87658893257,"['University of Florida', 'Rochester Institute of Technology']","['United States', 'United States']",United States,North America
Anahita Sanandaji,https://dl.acm.org/profile/99658988516,['Oregon State University'],['United States'],United States,North America
Cindy Marie Grimm,https://dl.acm.org/profile/81100553787,"['Oregon State University', 'Washington University in St. Louis', 'Texas A&M University', 'University of Central Florida', 'IEEE']","['United States', 'United States', 'United States', 'United States', 'United States']",United States,North America
Zheng Huang,https://dl.acm.org/profile/99659036087,['North Dakota State University'],['United States'],United States,North America
Jed Limke,https://dl.acm.org/profile/99659068000,['North Dakota State University'],['United States'],United States,North America
Jun Kong,https://dl.acm.org/profile/81408600332,"['North Dakota State University', 'The University of Texas at Dallas']","['United States', 'United States']",United States,North America
Muye Yang,https://dl.acm.org/profile/99658765217,['University of Macau'],['Macao'],Macao,Asia
Yina Li,https://dl.acm.org/profile/99658766518,['Nankai University'],['China'],China,Asia
Dongjin Li,https://dl.acm.org/profile/99658766563,['Nankai University'],['China'],China,Asia
Casey Haber,https://dl.acm.org/profile/99659068785,['University of San Francisco'],['United States'],United States,North America
Lyndonong Yiu,https://dl.acm.org/profile/99659068146,['University of San Francisco'],['United States'],United States,North America
Alark Joshi,https://dl.acm.org/profile/81339508109,"['University of San Francisco', 'Yale University', 'University of Maryland, Baltimore County (UMBC)', 'IEEE']","['United States', 'United States', 'United States', 'United States']",United States,North America
Sophie Engle,https://dl.acm.org/profile/81442602782,"['University of San Francisco', 'University of California, Davis']","['United States', 'United States']",United States,North America
Hui Lei,https://dl.acm.org/profile/99659068491,['Changsha University of Science and Technology'],['China'],China,Asia
Cong Xie,https://dl.acm.org/profile/99659067824,['Stony Brook University'],['United States'],United States,North America
Pingping Shang,https://dl.acm.org/profile/99659068366,"['State Key Lab of CAD&CG, Zhejiang University']",['China'],China,Asia
Fan Zhang,https://dl.acm.org/profile/99659068293,"['Massachusetts Institute of Technology', 'Zhejiang University of Technology']","['United States', 'China']",United States,North America
Weri Chen,https://dl.acm.org/profile/81548161656,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']","['China', 'China']",China,Asia
Qunsheng Peng,https://dl.acm.org/profile/81451598508,"['State Key Lab of CAD&CG, Zhejiang University', 'Zhejiang University']","['China', 'China']",China,Asia
Tobias Ruppert,https://dl.acm.org/profile/81474695617,['Fraunhofer Institute for Computer Graphics Research IGD'],['Germany'],Germany,Europe
Andreas Bannach,https://dl.acm.org/profile/99658949790,['Fraunhofer Institute for Computer Graphics Research IGD'],['Germany'],Germany,Europe
Jürgen Bernard,https://dl.acm.org/profile/81442607723,"['University of Zurich', 'The University of British Columbia', 'Fraunhofer Institute for Computer Graphics Research IGD']","['Switzerland', 'Canada', 'Germany']",Switzerland,Europe
Hendrik Lücke-Tieke,https://dl.acm.org/profile/99658654866,"['Fraunhofer Institute for Computer Graphics Research IGD', 'Athena Research and Innovation Center in Information, Communication and Knowledge Technologies']","['Germany', 'Greece']",Germany,Europe
Alex Ulmer,https://dl.acm.org/profile/99658657326,['Fraunhofer Institute for Computer Graphics Research IGD'],['Germany'],Germany,Europe
Jörn Kohlhammer,https://dl.acm.org/profile/81332509409,"['Fraunhofer Institute for Computer Graphics Research IGD', 'Technical University of Darmstadt']","['Germany', 'Germany']",Germany,Europe
Jiangen He,https://dl.acm.org/profile/99659191638,"['Drexel University', 'University of Maryland, College Park (UMD)']","['United States', 'United States']",United States,North America
Chaomei Chen,https://dl.acm.org/profile/81100119664,"['Drexel University', 'Dalian University of Technology', 'Brunel University London', 'Glasgow Caledonian University']","['United States', 'China', 'United Kingdom', 'United Kingdom']",United States,North America
Wenqian Ji,https://dl.acm.org/profile/99659068616,['Hohai University'],['China'],China,Asia
Yan Tang,https://dl.acm.org/profile/99659067476,['Hohai University'],['China'],China,Asia
Pengju Ma,https://dl.acm.org/profile/99659068606,['Hohai University'],['China'],China,Asia
Shijie Tang,https://dl.acm.org/profile/99659068288,['Hohai University'],['China'],China,Asia
Zhipeng Fang,https://dl.acm.org/profile/99659068325,['Hohai University'],['China'],China,Asia
Xuan Li,https://dl.acm.org/profile/99659068772,"['Baidu, Inc.']",['China'],China,Asia
Tianjian Chen,https://dl.acm.org/profile/81548022965,"['Baidu, Inc.']",['China'],China,Asia
Lina Zhang,https://dl.acm.org/profile/81490644010,"['State Key Lab of CAD&CG, Zhejiang University']",['China'],China,Asia
Kwan-Liu Ma,https://dl.acm.org/profile/81452595774,"['University of California, Davis', 'IEEE', 'NASA Langley Research Center', 'The University of Utah']","['United States', 'United States', 'United States', 'United States']",United States,North America
Jinhui Yu,https://dl.acm.org/profile/99659664633,"['State Key Lab of CAD&CG, Zhejiang University']",['China'],China,Asia
Lu Xiong,https://dl.acm.org/profile/99659068053,['Tianjin University'],['China'],China,Asia
Kai Sun,https://dl.acm.org/profile/99659067653,['Shanghai University'],['China'],China,Asia
Zongchao Guo,https://dl.acm.org/profile/99659067563,['Shanghai University'],['China'],China,Asia
Iliesa S Delai,https://dl.acm.org/profile/99659664742,['Brigham Young University Hawaii'],['United States'],United States,North America
Meilan Jin,https://dl.acm.org/profile/99659068939,['Brigham Young University'],['United States'],United States,North America
Geoffrey M Draper,https://dl.acm.org/profile/81430638972,"['Brigham Young University Hawaii', 'The University of Utah']","['United States', 'United States']",United States,North America
Seimei Matsusaki,https://dl.acm.org/profile/99659068113,['University of San Francisco'],['United States'],United States,North America
Xi Han,https://dl.acm.org/profile/99659067967,['University of San Francisco'],['United States'],United States,North America
Xin Kang,https://dl.acm.org/profile/99659068200,"['Ningbo University of Technology', 'Peking University', 'National Taipei University of Technology', 'Beijing University of Technology']","['China', 'China', 'Taiwan', 'China']",China,Asia
Yinan Li,https://dl.acm.org/profile/99659068315,['Southeast University'],['China'],China,Asia
Jian Wang,https://dl.acm.org/profile/99659068936,['Southeast University'],['China'],China,Asia
Daniel Wilches,https://dl.acm.org/profile/99659068554,['University of Wyoming'],['United States'],United States,North America
Amy Banić,https://dl.acm.org/profile/83059087157,['University of Wyoming'],['United States'],United States,North America
