type,title,year,authors,citations,downloads,doi,publisher,venue,n_reference
research-article,Hagrid — Gridify Scatterplots with Hilbert and Gosper Curves,2021,"['René Cutura', 'Cristina Morariu', 'Zhanglin Cheng', 'Yunhai Wang', 'Daniel Weiskopf', 'Michael Sedlmair']",1,110,10.1145/3481549.3481569,ACM,vinci,46
research-article,Scatterplot Selection Applying a Graph Coloring Algorithm,2021,"['Takayuki Itoh', 'Asuka Nakabayashi', 'Mariko Hagita']",0,21,10.1145/3481549.3481553,ACM,vinci,21
short-paper,Visual Analysis of Industrial Multivariate Time Series,2021,"['Maath Musleh', 'Angelos Chatzimparmpas', 'Ilir Jusufi']",0,70,10.1145/3481549.3481557,ACM,vinci,43
research-article,"PropellerHand: A Hand-Mounted, Propeller-Based Force Feedback Device",2021,"['Alexander Achberger', 'Frank Heyen', 'Kresimir Vidakovic', 'Michael Sedlmair']",0,69,10.1145/3481549.3481563,ACM,vinci,35
short-paper,"Interactive Simulation and Visualization ofLong-Term, ETF-based Investment Strategies",2021,"['Martin Büßemeyer', 'Daniel Limberger', 'Willy Scheibel', 'Jürgen Döllner']",0,143,10.1145/3481549.3481568,ACM,vinci,23
short-paper,Visualization of Data Changes in 2.5D Treemaps usingProcedural Textures and Animated Transitions,2021,"['Daniel Limberger', 'Willy Scheibel', 'Jan van Dieken', 'Jürgen Döllner']",0,67,10.1145/3481549.3481570,ACM,vinci,15
short-paper,EyeFIX: An Interactive Visual Analytics Interface for Eye Movement Analysis,2021,"['Ayush Kumar', 'Bharat Goel', 'Keshav Rajupet Premkumar', 'Michael Burch', 'Klaus D Mueller']",0,31,10.1145/3481549.3481562,ACM,vinci,16
research-article,An empirically-based spatial segmentation and coreference annotation scheme for comics,2021,"['Lauren Edlin', 'Joshua D Reiss']",0,24,10.1145/3481549.3481560,ACM,vinci,30
short-paper,RST as Narrative Structure for Node-Based Editors,2021,"['Cameron Edmond', 'Robert Lawther', 'Maxime Cordeil', 'Tomasz P Bednarz']",0,31,10.1145/3481549.3481556,ACM,vinci,31
short-paper,SPLORT: Evaluation of a Web-based Approach for Descriptive and Exploratory Analysis of Multivariate Spatio-temporal Data,2021,"['Miguel Alfonso Feijóo-García', 'José Tiberio Hernández-Peñalosa']",0,15,10.1145/3481549.3481554,ACM,vinci,19
short-paper,Design and Comparative Evaluation of Visualization Onboarding Methods,2021,"['Christina Stoiber', 'Conny Walchshofer', 'Florian Grassinger', 'Holger Stitz', 'Marc Streit', 'Wolfgang Aigner']",0,268,10.1145/3481549.3481558,ACM,vinci,50
research-article,Cross-Platform Immersive Visualization and Navigation with Augmented Reality,2021,"['Akshay Murari', 'Elias Mahfoud', 'Weichao Wang', 'Aidong Lu']",0,75,10.1145/3481549.3481564,ACM,vinci,28
research-article,Visual Linking of Feature Values in Immersive Graph Visualization Environment,2021,"['Hinako Sassa', 'Maxime Cordeil', 'Mitsuo Yoshida', 'Takayuki Itoh']",0,59,10.1145/3481549.3481555,ACM,vinci,24
research-article,ThreadRadar: A Thread-Aware Visualization for Debugging Concurrent Java Programs,2021,"['Oliver Moseler', 'Lucas Kreber', 'Stephan Diehl']",1,57,10.1145/3481549.3481566,ACM,vinci,27
research-article,Interactive Visual Facets to Support Fluid Exploratory Search,2021,"['Chen He', 'Luana Micallef', 'Barış Serim', 'Tung Vuong', 'Tuukka Ruotsalo', 'Giulio Iacucci']",0,48,10.1145/3481549.3481565,ACM,vinci,47
short-paper,Visual Analysis of Graph Algorithm Dynamics,2021,"['Michael Burch', 'Günter Wallner', 'Huub M M van de Wetering', 'Freek Rooks', 'Olof Morra']",0,32,10.1145/3481549.3481550,ACM,vinci,28
poster,Enabling Comparative Analysis of Election Data in Ecuador,2021,"['Gonzalo Gabriel Méndez', 'Oscar Moreno']",0,26,10.1145/3481549.3481571,ACM,vinci,5
poster,Software Galaxies: Displaying Coding Activitiesusing a Galaxy Metaphor,2021,"['Daniel Atzberger', 'Willy Scheibel', 'Daniel Limberger', 'Jürgen Döllner']",0,26,10.1145/3481549.3481573,ACM,vinci,12
poster,Using Scrollytelling to Explain Voting Power in Ecuador,2021,"['Gonzalo Gabriel Méndez', 'Patricio Mendoza']",1,37,10.1145/3481549.3481572,ACM,vinci,2
poster,A Web-Based Tool for analysing Formula 1 Races and Seasons,2021,"['Sebastian Eckl', 'Nick Kerschagel', 'Uwe Kloos']",0,31,10.1145/3481549.3481559,ACM,vinci,18
poster,POEM: People-Oriented EMail for Social Connectedness,2021,"['Maitreya Save', 'Benjamin Allen Watson']",0,16,10.1145/3481549.3481567,ACM,vinci,29
research-article,OpinionManager: Visual Exploration of Online Reviews in P2P Accommodation,2021,"['Dong Li', 'Hong Yin', 'Changbo Wang', 'Sicheng Song', 'Kirlin Li', 'Chenhui Li']",0,31,10.1145/3481549.3481551,ACM,vinci,19
research-article,Particle pre-processing for particle-based fluid surface reconstruction,2021,"['Qiaorui Chen', 'Shuai Zhang', 'Yao Zheng']",0,34,10.1145/3481549.3481552,ACM,vinci,19
short-paper,Identifying Correlation Patterns in Large Educational Data Sources,2021,"['Marco Schmid', 'Rahel Haymoz', 'David Schiller', 'Michael Burch']",1,21,10.1145/3481549.3481561,ACM,vinci,14
research-article,Survey of treemap layout algorithms,2020,"['Willy Scheibel', 'Daniel Limberger', 'Jürgen Döllner']",2,435,10.1145/3430036.3430041,ACM,vinci,110
research-article,Survey on user studies on the effectiveness of treemaps,2020,"['Carolin Fiedler', 'Willy Scheibel', 'Daniel Limberger', 'Matthias Trapp', 'Jürgen Döllner']",3,137,10.1145/3430036.3430054,ACM,vinci,65
research-article,Multiple linked perspectives on hierarchical data,2020,"['Michael Burch', 'Huub M M van de Wetering', 'Nico Klaassen']",1,39,10.1145/3430036.3430037,ACM,vinci,31
research-article,Visual Analytics of Urban Transportation from a Bike-Sharing and Taxi Perspective,2019,"['Haoran Dai', 'Yubo Tao', 'Hai Lin']",3,118,10.1145/3356422.3356433,ACM,vinci,24
research-article,Revealing Travel Patterns from Dockless Bike-sharing Data Based on Tensor Decomposition,2019,"['Hao Tang', 'Sixiang Fei', 'Xiaoying Shi']",1,158,10.1145/3356422.3356440,ACM,vinci,13
research-article,Visual predictive modeling of incomplete time series panel data,2019,"['Hanbyul Yeon', 'Mingyu Pi', 'Hyesook Son', 'Yun Jang']",0,74,10.1145/3356422.3356439,ACM,vinci,21
research-article,EpidNews: An Epidemiological News Explorer for Monitoring Animal Diseases,2018,"['Rohan Goel', 'Samiha Fadloun', 'Sarah Valentin', 'Arnaud Sallaberry', 'Mathieu Roche', 'Pascal Poncelet']",1,89,10.1145/3231622.3231624,ACM,vinci,21
research-article,PedaViz: Visualising Hour-Level Pedestrian Activity,2018,"['Humphrey O Obie', 'Caslon Chua', 'Iman Avazpour', 'Mohamed Almorsy Abdelrazek', 'John C. Grundy', 'Tomasz P Bednarz']",3,160,10.1145/3231622.3231626,ACM,vinci,26
research-article,BehaviorTracker: Visual Analytics of Customer Switching Behavior in O2O Market,2018,"['Yaru Du', 'Changbo Wang', 'Chenhui Li', 'Hong Yin']",1,197,10.1145/3231622.3231627,ACM,vinci,26
research-article,Contrast Enhancement Based on Viewing Distance,2018,"['Liang Zhou', 'Daniel Weiskopf']",2,87,10.1145/3231622.3231628,ACM,vinci,28
research-article,Challenges and Perspectives of Interacting with Hierarchy Visualizations on Large-Scale Displays,2018,"['Michael Burch', 'Hansjörg Schmauder']",1,76,10.1145/3231622.3231635,ACM,vinci,32
research-article,Generating Tractable Designs by Transforming Shape Grammars to Graph Grammars,2018,"['Xiaoyu Wang', 'Yufeng Liu', 'Jie Li', 'K. Zhang']",0,84,10.1145/3231622.3231637,ACM,vinci,29
research-article,"Interactive, Height-Based Filtering in 2.5D Treemaps",2018,"['Daniel Limberger', 'Matthias Trapp', 'Jürgen Döllner']",3,67,10.1145/3231622.3231638,ACM,vinci,34
research-article,Automatic View Placement in 3D toward Hierarchical Non-Linear Presentations,2018,"['Daniil Rodin', 'Gershon Elber']",1,66,10.1145/3231622.3231623,ACM,vinci,13
research-article,3D Modelling and Visualisation of Heterogeneous Cell Membranes in Blender,2018,"['Mehmood Ghaffar', 'Niklas Biere', 'Daniel Jäger', 'Karsten Klein', 'Falk Schreiber', 'Olaf Kruse', 'Björn Sommer']",0,168,10.1145/3231622.3231639,ACM,vinci,37
research-article,Property-Driven Dynamic Call Graph Exploration,2018,['Michael Burch'],0,68,10.1145/3231622.3231630,ACM,vinci,30
research-article,Upstream Visibility: A Multi-View Routing Visualization,2018,"['Luca Marzialetti', 'Massimo Candela', 'Giuseppe Di Battista']",0,71,10.1145/3231622.3231632,ACM,vinci,34
short-paper,IMDb Explorer: Visual Exploration of a Movie Database,2018,"['Michael Burch', 'Gerald Baulig', 'Tobias Boley', 'Arjana Mehmeti', 'Dina Kurbanismailova', 'Marc Roswag', 'Oliver Streicher', 'Steffen Wittig', 'Uwe Kloos']",0,160,10.1145/3231622.3231633,ACM,vinci,15
short-paper,Using an Augmented Reality Cube-Like Interface and 3D Gesture-Based Interaction to Navigate and Manipulate Data,2018,"['Nico Reski', 'Aris Alissandrakis']",1,199,10.1145/3231622.3231625,ACM,vinci,13
short-paper,Analysis of VINCI 2009-2017 Proceedings,2018,"['Kostiantyn Kucher', 'Rafael Messias Martins', 'Andreas Kerren']",2,203,10.1145/3231622.3231641,ACM,vinci,39
poster,Application of Interactive Computer-Assisted Argument Extraction to Opinionated Social Media Texts,2018,"['Kostiantyn Kucher', 'Maria Skeppstedt', 'Andreas Kerren']",1,84,10.1145/3231622.3232505,ACM,vinci,10
poster,Diabetes Information in Social Media,2018,"['Alisa Lincke', 'Jenny Lundberg', 'Maria Thunander', 'Marcelo Milrad', 'Jenny Lundberg', 'Ilir Jusufi', 'Jonas Lundberg']",2,136,10.1145/3231622.3232508,ACM,vinci,8
poster,Visualizing Programming Session Timelines,2018,"['Daniel Toll', 'Anna Wingkvist']",1,70,10.1145/3231622.3232506,ACM,vinci,7
poster,ChOWDER: Dynamic Contents Sharing through Remote Tiled Display System,2018,"['Tomohiro Kawanabe', 'Jorji Nonaka', 'Kenji Ono']",1,47,10.1145/3231622.3232504,ACM,vinci,4
poster,Data Modeling and Analysis on Fashion Evolution,2018,['Tu Xing'],0,109,10.1145/3231622.3231634,ACM,vinci,8
poster,Information Visualization and Design,2018,"['Anna Sara Fagerholm', 'Mattias Andersson']",0,187,10.1145/3231622.3231636,ACM,vinci,19
poster,Visual Notifier: A Timeline-Based Visualization for Notifications from Several Environments,2018,['Michael Burch'],0,45,10.1145/3231622.3231629,ACM,vinci,10
poster,Towards Uncertainty Visualization in Smart Production Environments,2018,"['Björn Zimmer', 'Jan Zenisek', 'Hans-Christian Jetter']",2,75,10.1145/3231622.3231640,ACM,vinci,4
poster,Improved Exploration with Dimensional Weight Manipulation in RadViz,2018,"['Hyunwoo Han', 'Taerin Yoon', 'Hyeonsik Gong', 'Kyungwon Lee']",0,63,10.1145/3231622.3232507,ACM,vinci,3
research-article,Visualizing uncertainty in flow diagrams: a case study in product costing,2017,"['Zana Vosough', 'Dietrich Kammer', 'Mandy Keck', 'Rainer Groh']",2,258,10.1145/3105971.3105972,ACM,vinci,44
research-article,A radviz-based visualization for understanding fuzzy clustering results,2017,"['Fangfang Zhou', 'Minghui Chen', 'Zeyu Wang', 'Feng Luo', 'Xiaobo Luo', 'Wei Huang', 'Yi Chen', 'Ying Zhao']",4,121,10.1145/3105971.3105980,ACM,vinci,24
research-article,Partial precedence of context-sensitive graph grammars,2017,"['Yang Zou', 'Xiaoqin Zeng', 'Yufeng Liu', 'Huiyi Liu']",2,39,10.1145/3105971.3105983,ACM,vinci,22
short-paper,An application of optimization method for storyline based on cluster analysis,2017,"['Yuhua Liu', 'Hanfei Lin', 'Yitao Liang', 'Changbo Wang']",1,93,10.1145/3105971.3105986,ACM,vinci,13
research-article,Personal visual analytics for android security risk lifelog,2017,"['Sangbong Yoo', 'Hongryeol Ryu', 'Hanbyul Yeon', 'Taekyoung ‘Taekyoung’ Kwon', 'Yun Jang']",1,136,10.1145/3105971.3105975,ACM,vinci,34
research-article,Visualization of time series data with spatial context: communicating the energy production of power plants,2017,"['Nils Rodrigues', 'Rudolf Netzel', 'Kazi Riaz Ullah', 'Michael Burch', 'Alexander Schultz', 'Bruno Burger', 'Daniel Weiskopf']",3,234,10.1145/3105971.3105982,ACM,vinci,33
research-article,Visualizing activity traces to support collaborative literature searching,2017,"['Kumaripaba Athukorala', 'Luana Micallef', 'Chao An', 'Aki Reijonen', 'Jaakko Peltonen', 'Tuukka Ruotsalo', 'Giulio Iacucci']",2,144,10.1145/3105971.3105981,ACM,vinci,42
short-paper,Visual support for rastering of unequally spaced time series,2017,"['Christian Bors', 'Markus Bögl', 'Theresia Gschwandtner', 'Silvia Miksch']",4,133,10.1145/3105971.3105984,ACM,vinci,21
short-paper,Visual considerations of relative trajectory models of moving objects,2017,"['Kazuo Misue', 'Kosuke Otake', 'Takahiro Saito']",0,52,10.1145/3105971.3105987,ACM,vinci,19
poster,Anamorphic fluid: exploring spatial organization and movements of images in a simulated fluid environment,2017,"['Jieliang Luo', 'Donghao Ren', 'George Legrady']",0,60,10.1145/3105971.3105990,ACM,vinci,3
poster,Using sunflower metaphor to reduce clutter of scatterplot,2017,"['Congmin Li', 'Jie Li']",1,52,10.1145/3105971.3108443,ACM,vinci,2
poster,Visualizing thai stock performance using parallel coordinates,2017,"['Boyi Li', 'Amontep Wijitcharoen', 'Jonathan Hoyin Chan']",0,78,10.1145/3105971.3108447,ACM,vinci,5
poster,Visual clustering-based apriori ARM methodology for obtaining quality association rules,2017,"['Simon James Fong', 'Robert P. Biuk-Aghai', 'Scarlet Tin']",3,110,10.1145/3105971.3108450,ACM,vinci,4
poster,Towards a design generation methodology,2017,"['K. Zhang', 'Yihang Bo', 'Yi Yang']",1,101,10.1145/3105971.3108444,ACM,vinci,11
poster,Visual analysis of driving styles from vehicle experiment data,2017,"['Xianglei Zhu', 'Shuai Zhao', 'Quan Wen', 'Jie Li']",0,45,10.1145/3105971.3108442,ACM,vinci,2
poster,Data-driven dementia diagnosis record visualization system,2017,"['Wenjun Guo', 'Seungwook Kim', 'Sangjoon Son', 'Changhyung Hong', 'Hyunjung (Helen) Shin', 'Kyungwon Lee']",0,92,10.1145/3105971.3108445,ACM,vinci,3
poster,Network-based visualization tool for analyzing gene expression data,2017,"['Thanyathorn Thanapattheerakul', 'Jaturong Kongmanee', 'Jonathan Hoyin Chan']",0,64,10.1145/3105971.3108446,ACM,vinci,8
poster,Gene-set profiles: visualizing dissimilarity within gene co-expression networks for biomarker identification,2017,"['Saila Shama', 'Philip Lu', 'Narumol Doungpan', 'Asawin Meechai', 'Jonathan Hoyin Chan']",0,35,10.1145/3105971.3108448,ACM,vinci,4
poster,Overall quality evaluation of graph layouts based on regression analysis,2017,"['Jiafan Li', 'Changbo Wang', 'Yuhua Liu', 'Zhijie Qiao', 'Junjie Wang']",0,57,10.1145/3105971.3105992,ACM,vinci,6
poster,Network analysis of inter-organizational success factor relationships,2017,"['Wutthipong Kongburan', 'Praisan Padungweang', 'Worarat Krathu', 'Jonathan Hoyin Chan']",0,49,10.1145/3105971.3108449,ACM,vinci,4
research-article,Exploring gaze-adaptive features for interacting with multi-document visualizations,2017,"['Barış Serim', 'Luca Chech', 'Marta Vasilieva', 'Lorenzo Papa', 'Luciano Gamberini', 'Giulio Iacucci']",1,111,10.1145/3105971.3105977,ACM,vinci,34
research-article,Computer-aided generation of mandala thangka patterns,2017,"['Jiajing Zhang', 'K. Zhang', 'Ren Peng', 'Jinhui Yu']",2,133,10.1145/3105971.3105974,ACM,vinci,42
research-article,Eye movement plots,2017,['Michael Burch'],2,101,10.1145/3105971.3105973,ACM,vinci,35
short-paper,artVIS: an interactive visualization for painting collections,2017,"['Michael Burch', 'Uwe Kloos', 'Denise Junger', 'Isabel Hagen', 'Robin Horst', 'Lukas Brand', 'Armin Müller', 'Benjamin Weinert']",2,114,10.1145/3105971.3105989,ACM,vinci,15
research-article,Map-like visualisations vs. treemaps: an experimental comparison,2017,"['Robert P. Biuk-Aghai', 'Patrick Cheong-Iao Pang', 'Bin Pang']",4,279,10.1145/3105971.3105976,ACM,vinci,26
research-article,Evaluating the effects of size in linesets,2017,"['Dominique Tranquille', 'Gem Stapleton', 'Jim Burton', 'Peter J Rodgers']",1,44,10.1145/3105971.3105978,ACM,vinci,26
research-article,Towards Glyph-based visualizations for big data clustering,2017,"['Mandy Keck', 'Dietrich Kammer', 'Thomas Gründer', 'Thomas Thom', 'Martin Kleinsteuber', 'Alexander Maasch', 'Rainer Groh']",6,268,10.1145/3105971.3105979,ACM,vinci,26
short-paper,How Network-based and set-based visualizations aid consistency checking in ontologies,2017,"['Yuri Sato', 'Gem Stapleton', 'Mateja Jamnik', 'Zohreh Shams', 'Andrew Blake']",1,90,10.1145/3105971.3105988,ACM,vinci,28
research-article,The Dynamic Call Graph Matrix,2016,['Michael Burch'],7,221,10.1145/2968220.2968226,ACM,vinci,24
research-article,BranchingSets: Interactively Visualizing Categories on Node-Link Diagrams,2016,"['Francesco Paduano', 'Ronak Etemadpour', 'Angus Graeme Forbes']",3,114,10.1145/2968220.2968229,ACM,vinci,28
research-article,A Guided Tour of Literature Review: Facilitating Academic Paper Reading with Narrative Visualization,2016,"['Yun Wang', 'Dongyu Liu', 'Huamin Qu', 'Qiong Luo', 'Xiaojuan Ma']",5,488,10.1145/2968220.2968242,ACM,vinci,34
short-paper,IDSPlanet: A Novel Radial Visualization of Intrusion Detection Alerts,2016,"['Yang Shi', 'Yaoxue Zhang', 'Fangfang Zhou', 'Ying Zhao', 'Guojun Wang', 'Ronghua Shi', 'Xing Liang']",1,271,10.1145/2968220.2968221,ACM,vinci,13
short-paper,Bus Lines Explorer: Interactive Exploration of Public Transportation Data,2016,"['Rainer C Splechtna', 'Alexandra Diehl', 'Mai H Elshehaly', 'Claudio A Delrieux', 'Denis Gracanin', 'Krešimir Matković']",0,193,10.1145/2968220.2968238,ACM,vinci,15
research-article,Enhancing Infographics Based on Symmetry Saliency,2016,"['Kouhei Yasuda', 'Shigeo Takahashi', 'Hsiangyun Wu']",1,176,10.1145/2968220.2968224,ACM,vinci,26
research-article,Deep Exploration of Multidimensional Data with Linkable Scatterplots,2016,"['Quang Vinh Nguyen', 'Simeon J Simoff', 'Yu Qian', 'Maolin Huang']",6,145,10.1145/2968220.2968248,ACM,vinci,49
research-article,Visibility Widgets: Managing Occlusion of Quantitative Data in 3D Terrain Visualization,2016,"['Martin Röhlig', 'H. Schumann']",3,81,10.1145/2968220.2968230,ACM,vinci,24
research-article,Eliciting Tacit Expertise in 3D Volume Segmentation,2016,"['Ruth West', 'Meghan Kajihara', 'Max Parola', 'Kathryn Hays', 'Luke Hillard', 'Anne Carlew', 'Jeremey Deutsch', 'Brandon Lane', 'Michelle Holloway', 'Brendan John', 'Anahita Sanandaji', 'Cindy Marie Grimm']",2,246,10.1145/2968220.2968235,ACM,vinci,26
research-article,A Comparative Study on Inter-Device Interaction: One-Handed Interaction VS Two-Handed Interaction,2016,"['Zheng Huang', 'Jed Limke', 'Jun Kong']",3,148,10.1145/2968220.2968236,ACM,vinci,25
research-article,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations,2016,"['Patrick Cheong-Iao Pang', 'Robert P. Biuk-Aghai', 'Muye Yang']",4,215,10.1145/2968220.2968239,ACM,vinci,31
research-article,How People Deploy Dimensional Information to Estimate Relative Values,2016,"['Yina Li', 'Dongjin Li']",1,55,10.1145/2968220.2968240,ACM,vinci,30
short-paper,Do Defaults Matter?: Evaluating the Effect of Defaults on User Preference for Multi-Class Scatterplots,2016,"['Casey Haber', 'Lyndonong Yiu', 'Alark Joshi', 'Sophie Engle']",0,110,10.1145/2968220.2968241,ACM,vinci,27
research-article,Visual Analysis of User-Driven Association Rule Mining,2016,"['Hui Lei', 'Cong Xie', 'Pingping Shang', 'Fan Zhang', 'Weri Chen', 'Qunsheng Peng']",1,129,10.1145/2968220.2968222,ACM,vinci,28
research-article,Supporting Collaborative Political Decision Making: An Interactive Policy Process Visualization System,2016,"['Tobias Ruppert', 'Andreas Bannach', 'Jürgen Bernard', 'Hendrik Lücke-Tieke', 'Alex Ulmer', 'Jörn Kohlhammer']",1,228,10.1145/2968220.2968223,ACM,vinci,24
short-paper,Spatiotemporal Analytics of Topic Trajectory,2016,"['Jiangen He', 'Chaomei Chen']",2,152,10.1145/2968220.2968244,ACM,vinci,21
short-paper,A Hybrid Approach for Event Social Influence Visualization,2016,"['Wenqian Ji', 'Yan Tang', 'Pengju Ma', 'Shijie Tang', 'Zhipeng Fang', 'Xuan Li', 'Tianjian Chen']",0,81,10.1145/2968220.2968246,ACM,vinci,15
research-article,Adaptively Tiled Image Mosaics Utilizing Measures of Color and Region Entropy,2016,"['Lina Zhang', 'Kwan-Liu Ma', 'Jinhui Yu']",2,134,10.1145/2968220.2968228,ACM,vinci,31
research-article,Generation of Miro's Surrealism,2016,"['Lu Xiong', 'K. Zhang']",11,234,10.1145/2968220.2968232,ACM,vinci,33
poster,EduVis: Visualization for Education Knowledge Graph Based on Web Data,2016,"['Kai Sun', 'Yuhua Liu', 'Zongchao Guo', 'Changbo Wang']",2,450,10.1145/2968220.2968227,ACM,vinci,6
poster,Visualizing Time-Variant Sets on a Handheld Device,2016,"['Iliesa S Delai', 'Meilan Jin', 'Geoffrey M Draper']",0,66,10.1145/2968220.2968231,ACM,vinci,4
poster,Interactive Exploration of Multidimensional YouTube Data Using the GPLOM Technique,2016,"['Seimei Matsusaki', 'Xi Han', 'Alark Joshi', 'Sophie Engle']",0,69,10.1145/2968220.2968233,ACM,vinci,5
poster,The Effect of Color on Short-term Memory in Information Visualization,2016,['Xin Kang'],1,530,10.1145/2968220.2968237,ACM,vinci,9
poster,Design for the future: Incorporating Cradle to Cradle Design into our street,2016,"['Yinan Li', 'Jian Wang']",0,53,10.1145/2968220.2968243,ACM,vinci,8
poster,VolSelectAware: Visual-Cognition Coupled Non-Visual Data-Driven Volume Selection for Immersive Scientific Visualizations,2016,"['Daniel Wilches', 'Amy Banić']",3,76,10.1145/2968220.2968245,ACM,vinci,15
poster,Visual Analysis of TED Talk Topic Trends,2016,"['Sarah Hong', 'Yuyi Liu', 'Zhao Xiao']",1,263,10.1145/2968220.2972225,ACM,vinci,5
poster,A Mapping of Color Information from Inputted Images to Generated Polygons: A Case Study of Generative Design of Epoxy-Terrazzo Artistry,2016,"['Jie Wu', 'Guangxi Chen']",0,62,10.1145/2968220.2972226,ACM,vinci,7
poster,Visual Communication Power Construction and Multimodal Discourse Analysis of Tobacco Control Advertising,2016,"['Wang Qian', 'Xiao Bing']",0,135,10.1145/2968220.2968234,ACM,vinci,7
panel,Facilitating Visualization Capacity Building,2016,"['Vetria Laverne Byrd', 'Joseph A Cottam']",1,177,10.1145/2968220.2968249,ACM,vinci,0
research-article,Predictive Visual Analytics using Topic Composition,2015,"['Hanbyul Yeon', 'Yun Jang']",7,182,10.1145/2801040.2801054,ACM,vinci,39
research-article,A Preliminary Study on Network-based ADL Training for the Visually Impaired by Use of a Parametric-speaker Robot,2015,"['Koji Kainou', 'Hotaka Takizawa', 'Mayumi Aoyagi', 'Nobuo Ezaki', 'Shinji Mizuno']",2,72,10.1145/2801040.2801043,ACM,vinci,16
