pais1,pais2,paper_doi,date
Germany,Germany,10.1145/3481549.3481569,2021
Germany,China,10.1145/3481549.3481569,2021
China,China,10.1145/3481549.3481569,2021
Japan,Japan,10.1145/3481549.3481553,2021
Sweden,Sweden,10.1145/3481549.3481557,2021
Germany,Germany,10.1145/3481549.3481563,2021
Germany,Germany,10.1145/3481549.3481568,2021
Germany,Germany,10.1145/3481549.3481570,2021
United States,United States,10.1145/3481549.3481562,2021
United States,Switzerland,10.1145/3481549.3481562,2021
Switzerland,Switzerland,10.1145/3481549.3481562,2021
United Kingdom,United Kingdom,10.1145/3481549.3481560,2021
Australia,Australia,10.1145/3481549.3481556,2021
Australia,France,10.1145/3481549.3481556,2021
France,France,10.1145/3481549.3481556,2021
Colombia,Colombia,10.1145/3481549.3481554,2021
Austria,Austria,10.1145/3481549.3481558,2021
United States,United States,10.1145/3481549.3481564,2021
Japan,Japan,10.1145/3481549.3481555,2021
Japan,Australia,10.1145/3481549.3481555,2021
Australia,Australia,10.1145/3481549.3481555,2021
Germany,Germany,10.1145/3481549.3481566,2021
Finland,Finland,10.1145/3481549.3481565,2021
Finland,Denmark,10.1145/3481549.3481565,2021
Denmark,Denmark,10.1145/3481549.3481565,2021
Switzerland,Switzerland,10.1145/3481549.3481550,2021
Switzerland,Austria,10.1145/3481549.3481550,2021
Switzerland,Netherlands,10.1145/3481549.3481550,2021
Austria,Austria,10.1145/3481549.3481550,2021
Austria,Netherlands,10.1145/3481549.3481550,2021
Netherlands,Netherlands,10.1145/3481549.3481550,2021
Ecuador,Ecuador,10.1145/3481549.3481571,2021
Germany,Germany,10.1145/3481549.3481573,2021
Ecuador,Ecuador,10.1145/3481549.3481572,2021
Germany,Germany,10.1145/3481549.3481559,2021
United States,United States,10.1145/3481549.3481567,2021
China,China,10.1145/3481549.3481551,2021
China,China,10.1145/3481549.3481552,2021
Switzerland,Switzerland,10.1145/3481549.3481561,2021
Germany,Germany,10.1145/3430036.3430041,2020
Germany,Germany,10.1145/3430036.3430054,2020
Switzerland,Switzerland,10.1145/3430036.3430037,2020
Switzerland,Netherlands,10.1145/3430036.3430037,2020
Netherlands,Netherlands,10.1145/3430036.3430037,2020
China,China,10.1145/3356422.3356433,2019
China,China,10.1145/3356422.3356440,2019
South Korea,South Korea,10.1145/3356422.3356439,2019
India,India,10.1145/3231622.3231624,2018
India,France,10.1145/3231622.3231624,2018
France,France,10.1145/3231622.3231624,2018
Australia,Australia,10.1145/3231622.3231626,2018
Australia,France,10.1145/3231622.3231626,2018
France,France,10.1145/3231622.3231626,2018
China,China,10.1145/3231622.3231627,2018
United States,United States,10.1145/3231622.3231628,2018
United States,Germany,10.1145/3231622.3231628,2018
Germany,Germany,10.1145/3231622.3231628,2018
Switzerland,Switzerland,10.1145/3231622.3231635,2018
Switzerland,Germany,10.1145/3231622.3231635,2018
Germany,Germany,10.1145/3231622.3231635,2018
United States,United States,10.1145/3231622.3231637,2018
United States,China,10.1145/3231622.3231637,2018
China,China,10.1145/3231622.3231637,2018
Germany,Germany,10.1145/3231622.3231638,2018
Israel,Israel,10.1145/3231622.3231623,2018
Germany,Germany,10.1145/3231622.3231639,2018
Germany,Australia,10.1145/3231622.3231639,2018
Germany,United Kingdom,10.1145/3231622.3231639,2018
Australia,Australia,10.1145/3231622.3231639,2018
Australia,United Kingdom,10.1145/3231622.3231639,2018
United Kingdom,United Kingdom,10.1145/3231622.3231639,2018
Switzerland,Switzerland,10.1145/3231622.3231630,2018
Italy,Italy,10.1145/3231622.3231632,2018
Switzerland,Switzerland,10.1145/3231622.3231633,2018
Switzerland,Germany,10.1145/3231622.3231633,2018
Germany,Germany,10.1145/3231622.3231633,2018
Sweden,Sweden,10.1145/3231622.3231625,2018
Sweden,Sweden,10.1145/3231622.3231641,2018
Sweden,Sweden,10.1145/3231622.3232505,2018
Sweden,Germany,10.1145/3231622.3232505,2018
Germany,Germany,10.1145/3231622.3232505,2018
Sweden,Sweden,10.1145/3231622.3232508,2018
Sweden,Sweden,10.1145/3231622.3232506,2018
Japan,Japan,10.1145/3231622.3232504,2018
China,China,10.1145/3231622.3231634,2018
Sweden,Sweden,10.1145/3231622.3231636,2018
Switzerland,Switzerland,10.1145/3231622.3231629,2018
Austria,Austria,10.1145/3231622.3231640,2018
Austria,Germany,10.1145/3231622.3231640,2018
Germany,Germany,10.1145/3231622.3231640,2018
South Korea,South Korea,10.1145/3231622.3232507,2018
Germany,Germany,10.1145/3105971.3105972,2017
Germany,Austria,10.1145/3105971.3105972,2017
Austria,Austria,10.1145/3105971.3105972,2017
China,China,10.1145/3105971.3105980,2017
China,China,10.1145/3105971.3105983,2017
China,China,10.1145/3105971.3105986,2017
South Korea,South Korea,10.1145/3105971.3105975,2017
Germany,Germany,10.1145/3105971.3105982,2017
Germany,Switzerland,10.1145/3105971.3105982,2017
Switzerland,Switzerland,10.1145/3105971.3105982,2017
Finland,Finland,10.1145/3105971.3105981,2017
Finland,Denmark,10.1145/3105971.3105981,2017
Denmark,Denmark,10.1145/3105971.3105981,2017
Austria,Austria,10.1145/3105971.3105984,2017
Japan,Japan,10.1145/3105971.3105987,2017
United States,United States,10.1145/3105971.3105990,2017
China,China,10.1145/3105971.3108443,2017
Canada,Canada,10.1145/3105971.3108447,2017
Canada,Thailand,10.1145/3105971.3108447,2017
Thailand,Thailand,10.1145/3105971.3108447,2017
Macao,Macao,10.1145/3105971.3108450,2017
United States,United States,10.1145/3105971.3108444,2017
United States,China,10.1145/3105971.3108444,2017
China,China,10.1145/3105971.3108444,2017
China,China,10.1145/3105971.3108442,2017
South Korea,South Korea,10.1145/3105971.3108445,2017
Thailand,Thailand,10.1145/3105971.3108446,2017
Thailand,United States,10.1145/3105971.3108446,2017
United States,United States,10.1145/3105971.3108446,2017
Canada,Canada,10.1145/3105971.3108448,2017
Canada,Thailand,10.1145/3105971.3108448,2017
Thailand,Thailand,10.1145/3105971.3108448,2017
China,China,10.1145/3105971.3105992,2017
Thailand,Thailand,10.1145/3105971.3108449,2017
Finland,Finland,10.1145/3105971.3105977,2017
Finland,Italy,10.1145/3105971.3105977,2017
Italy,Italy,10.1145/3105971.3105977,2017
China,China,10.1145/3105971.3105974,2017
China,United States,10.1145/3105971.3105974,2017
United States,United States,10.1145/3105971.3105974,2017
Switzerland,Switzerland,10.1145/3105971.3105973,2017
Switzerland,Switzerland,10.1145/3105971.3105989,2017
Switzerland,Germany,10.1145/3105971.3105989,2017
Germany,Germany,10.1145/3105971.3105989,2017
Macao,Macao,10.1145/3105971.3105976,2017
Macao,Australia,10.1145/3105971.3105976,2017
Australia,Australia,10.1145/3105971.3105976,2017
United Kingdom,United Kingdom,10.1145/3105971.3105978,2017
Austria,Austria,10.1145/3105971.3105979,2017
Austria,Germany,10.1145/3105971.3105979,2017
Germany,Germany,10.1145/3105971.3105979,2017
United Kingdom,United Kingdom,10.1145/3105971.3105988,2017
Switzerland,Switzerland,10.1145/2968220.2968226,2016
United States,United States,10.1145/2968220.2968229,2016
Hong Kong,Hong Kong,10.1145/2968220.2968242,2016
Hong Kong,United States,10.1145/2968220.2968242,2016
United States,United States,10.1145/2968220.2968242,2016
China,China,10.1145/2968220.2968221,2016
China,United States,10.1145/2968220.2968221,2016
United States,United States,10.1145/2968220.2968221,2016
Austria,Austria,10.1145/2968220.2968238,2016
Austria,Germany,10.1145/2968220.2968238,2016
Austria,United States,10.1145/2968220.2968238,2016
Austria,Argentina,10.1145/2968220.2968238,2016
Germany,Germany,10.1145/2968220.2968238,2016
Germany,United States,10.1145/2968220.2968238,2016
Germany,Argentina,10.1145/2968220.2968238,2016
United States,United States,10.1145/2968220.2968238,2016
United States,Argentina,10.1145/2968220.2968238,2016
Argentina,Argentina,10.1145/2968220.2968238,2016
Japan,Japan,10.1145/2968220.2968224,2016
Japan,Austria,10.1145/2968220.2968224,2016
Austria,Austria,10.1145/2968220.2968224,2016
Australia,Australia,10.1145/2968220.2968248,2016
Australia,United States,10.1145/2968220.2968248,2016
United States,United States,10.1145/2968220.2968248,2016
Germany,Germany,10.1145/2968220.2968230,2016
United States,United States,10.1145/2968220.2968235,2016
United States,United States,10.1145/2968220.2968236,2016
Australia,Australia,10.1145/2968220.2968239,2016
Australia,Macao,10.1145/2968220.2968239,2016
Macao,Macao,10.1145/2968220.2968239,2016
China,China,10.1145/2968220.2968240,2016
United States,United States,10.1145/2968220.2968241,2016
China,China,10.1145/2968220.2968222,2016
China,United States,10.1145/2968220.2968222,2016
United States,United States,10.1145/2968220.2968222,2016
Germany,Germany,10.1145/2968220.2968223,2016
Germany,Switzerland,10.1145/2968220.2968223,2016
Switzerland,Switzerland,10.1145/2968220.2968223,2016
United States,United States,10.1145/2968220.2968244,2016
China,China,10.1145/2968220.2968246,2016
China,China,10.1145/2968220.2968228,2016
China,United States,10.1145/2968220.2968228,2016
United States,United States,10.1145/2968220.2968228,2016
China,China,10.1145/2968220.2968232,2016
China,United States,10.1145/2968220.2968232,2016
United States,United States,10.1145/2968220.2968232,2016
China,China,10.1145/2968220.2968227,2016
United States,United States,10.1145/2968220.2968231,2016
United States,United States,10.1145/2968220.2968233,2016
China,China,10.1145/2968220.2968237,2016
China,China,10.1145/2968220.2968243,2016
United States,United States,10.1145/2968220.2968245,2016
China,China,10.1145/2968220.2972225,2016
China,China,10.1145/2968220.2972226,2016
China,China,10.1145/2968220.2968234,2016
United States,United States,10.1145/2968220.2968249,2016
South Korea,South Korea,10.1145/2801040.2801054,2015
Japan,Japan,10.1145/2801040.2801043,2015
Germany,Germany,10.1145/2801040.2801055,2015
Germany,Germany,10.1145/2801040.2801057,2015
Switzerland,Switzerland,10.1145/2801040.2801048,2015
Germany,Germany,10.1145/2801040.2801053,2015
Germany,Switzerland,10.1145/2801040.2801053,2015
Switzerland,Switzerland,10.1145/2801040.2801053,2015
Australia,Australia,10.1145/2801040.2801059,2015
Taiwan,Taiwan,10.1145/2801040.2801046,2015
Japan,Japan,10.1145/2801040.2801044,2015
Australia,Australia,10.1145/2801040.2801051,2015
Malaysia,Malaysia,10.1145/2801040.2801058,2015
Malaysia,Australia,10.1145/2801040.2801058,2015
Australia,Australia,10.1145/2801040.2801058,2015
Italy,Italy,10.1145/2801040.2801052,2015
China,China,10.1145/2801040.2801061,2015
China,Australia,10.1145/2801040.2801061,2015
China,United States,10.1145/2801040.2801061,2015
Australia,Australia,10.1145/2801040.2801061,2015
Australia,United States,10.1145/2801040.2801061,2015
United States,United States,10.1145/2801040.2801061,2015
Japan,Japan,10.1145/2801040.2801041,2015
India,India,10.1145/2801040.2801049,2015
China,China,10.1145/2801040.2801063,2015
China,China,10.1145/2801040.2801062,2015
China,United States,10.1145/2801040.2801062,2015
United States,United States,10.1145/2801040.2801062,2015
Germany,Germany,10.1145/2801040.2801045,2015
Macao,Macao,10.1145/2801040.2801056,2015
Japan,Japan,10.1145/2801040.2801042,2015
Japan,Japan,10.1145/2801040.2801047,2015
Japan,Japan,10.1145/2801040.2801050,2015
Australia,Australia,10.1145/2801040.2801060,2015
Japan,Japan,10.1145/2801040.2801066,2015
Japan,Japan,10.1145/2801040.2801067,2015
Japan,Australia,10.1145/2801040.2801067,2015
Australia,Australia,10.1145/2801040.2801067,2015
South Korea,South Korea,10.1145/2801040.2801069,2015
Japan,Japan,10.1145/2801040.2801068,2015
Japan,France,10.1145/2801040.2801068,2015
France,France,10.1145/2801040.2801068,2015
Japan,Japan,10.1145/2801040.2801070,2015
Taiwan,Taiwan,10.1145/2801040.2801065,2015
Japan,Japan,10.1145/2801040.2801071,2015
China,China,10.1145/2801040.2801072,2015
China,United States,10.1145/2801040.2801072,2015
United States,United States,10.1145/2801040.2801072,2015
Japan,Japan,10.1145/2801040.2802138,2015
Russia,Russia,10.1145/2636240.2636844,2014
United States,United States,10.1145/2636240.2636850,2014
Australia,Australia,10.1145/2636240.2636841,2014
Australia,China,10.1145/2636240.2636841,2014
China,China,10.1145/2636240.2636841,2014
Switzerland,Switzerland,10.1145/2636240.2636839,2014
Switzerland,Germany,10.1145/2636240.2636839,2014
Germany,Germany,10.1145/2636240.2636839,2014
Japan,Japan,10.1145/2636240.2636858,2014
Japan,Austria,10.1145/2636240.2636858,2014
Austria,Austria,10.1145/2636240.2636858,2014
China,China,10.1145/2636240.2636854,2014
China,United States,10.1145/2636240.2636854,2014
China,Hong Kong,10.1145/2636240.2636854,2014
United States,United States,10.1145/2636240.2636854,2014
United States,Hong Kong,10.1145/2636240.2636854,2014
Hong Kong,Hong Kong,10.1145/2636240.2636854,2014
Australia,Australia,10.1145/2636240.2636843,2014
Germany,Germany,10.1145/2636240.2636840,2014
Taiwan,Taiwan,10.1145/2636240.2636846,2014
Italy,Italy,10.1145/2636240.2636855,2014
Italy,Australia,10.1145/2636240.2636855,2014
Australia,Australia,10.1145/2636240.2636855,2014
Australia,Australia,10.1145/2636240.2636842,2014
Australia,Canada,10.1145/2636240.2636842,2014
Australia,United States,10.1145/2636240.2636842,2014
Canada,Canada,10.1145/2636240.2636842,2014
Canada,United States,10.1145/2636240.2636842,2014
United States,United States,10.1145/2636240.2636842,2014
India,India,10.1145/2636240.2636847,2014
China,China,10.1145/2636240.2636857,2014
China,United States,10.1145/2636240.2636857,2014
United States,United States,10.1145/2636240.2636857,2014
China,China,10.1145/2636240.2636845,2014
India,India,10.1145/2636240.2636856,2014
New Zealand,New Zealand,10.1145/2636240.2636853,2014
United Kingdom,United Kingdom,10.1145/2636240.2636838,2014
Australia,Australia,10.1145/2636240.2636848,2014
Australia,France,10.1145/2636240.2636848,2014
France,France,10.1145/2636240.2636848,2014
Australia,Australia,10.1145/2636240.2636851,2014
Australia,Australia,10.1145/2636240.2636852,2014
Australia,France,10.1145/2636240.2636852,2014
France,France,10.1145/2636240.2636852,2014
Japan,Japan,10.1145/2636240.2636849,2014
China,China,10.1145/2636240.2636862,2014
Australia,Australia,10.1145/2636240.2636860,2014
United States,United States,10.1145/2636240.2636871,2014
India,India,10.1145/2636240.2636863,2014
Australia,Australia,10.1145/2636240.2636865,2014
Australia,Australia,10.1145/2636240.2636868,2014
Australia,Switzerland,10.1145/2636240.2636868,2014
Switzerland,Switzerland,10.1145/2636240.2636868,2014
Australia,Australia,10.1145/2636240.2636866,2014
Japan,Japan,10.1145/2636240.2636861,2014
Sri Lanka,Sri Lanka,10.1145/2636240.2636867,2014
Sri Lanka,Malaysia,10.1145/2636240.2636867,2014
Malaysia,Malaysia,10.1145/2636240.2636867,2014
China,China,10.1145/2636240.2636870,2014
Australia,Australia,10.1145/2636240.2636864,2014
Australia,Australia,10.1145/2636240.2636869,2014
Sri Lanka,Sri Lanka,10.1145/2636240.2636876,2014
Sri Lanka,Malaysia,10.1145/2636240.2636876,2014
Malaysia,Malaysia,10.1145/2636240.2636876,2014
Japan,Japan,10.1145/2636240.2636877,2014
India,India,10.1145/2636240.2636878,2014
Sri Lanka,Sri Lanka,10.1145/2636240.2636875,2014
Sri Lanka,Malaysia,10.1145/2636240.2636875,2014
Malaysia,Malaysia,10.1145/2636240.2636875,2014
Sri Lanka,Sri Lanka,10.1145/2636240.2636874,2014
Sri Lanka,Malaysia,10.1145/2636240.2636874,2014
Malaysia,Malaysia,10.1145/2636240.2636874,2014
Japan,Japan,10.1145/2636240.2636872,2014
France,France,10.1145/2636240.2636873,2014
France,Australia,10.1145/2636240.2636873,2014
Australia,Australia,10.1145/2636240.2636873,2014
Italy,Italy,10.1145/2493102.2493103,2013
Italy,Japan,10.1145/2493102.2493103,2013
Japan,Japan,10.1145/2493102.2493103,2013
China,China,10.1145/2493102.2493104,2013
Italy,Italy,10.1145/2493102.2493105,2013
Italy,Australia,10.1145/2493102.2493105,2013
Australia,Australia,10.1145/2493102.2493105,2013
China,China,10.1145/2493102.2493106,2013
China,China,10.1145/2493102.2493107,2013
China,China,10.1145/2493102.2493108,2013
China,Hong Kong,10.1145/2493102.2493108,2013
Hong Kong,Hong Kong,10.1145/2493102.2493108,2013
United States,United States,10.1145/2493102.2493109,2013
China,China,10.1145/2493102.2493110,2013
China,China,10.1145/2493102.2493111,2013
Australia,Australia,10.1145/2493102.2493112,2013
Italy,Italy,10.1145/2493102.2493113,2013
Macao,Macao,10.1145/2493102.2493114,2013
Italy,Italy,10.1145/2493102.2493116,2013
Italy,United Kingdom,10.1145/2493102.2493116,2013
United Kingdom,United Kingdom,10.1145/2493102.2493116,2013
China,China,10.1145/2493102.2493118,2013
France,France,10.1145/2493102.2493119,2013
United Kingdom,United Kingdom,10.1145/2493102.2493120,2013
China,China,10.1145/2493102.2493121,2013
China,China,10.1145/2493102.2493122,2013
United States,United States,10.1145/2493102.2493115,2013
United States,United Kingdom,10.1145/2493102.2493115,2013
United Kingdom,United Kingdom,10.1145/2493102.2493115,2013
Sweden,Sweden,10.1145/2493102.2499784,2013
China,China,10.1145/2493102.2499785,2013
United States,United States,10.1145/2493102.2499786,2013
United Kingdom,United Kingdom,10.1145/2493102.2499787,2013
China,China,10.1145/2397696.2397697,2012
China,China,10.1145/2397696.2397698,2012
China,China,10.1145/2397696.2397699,2012
China,China,10.1145/2397696.2397700,2012
China,United States,10.1145/2397696.2397700,2012
United States,United States,10.1145/2397696.2397700,2012
United States,United States,10.1145/2397696.2397701,2012
China,China,10.1145/2397696.2397702,2012
China,United States,10.1145/2397696.2397702,2012
United States,United States,10.1145/2397696.2397702,2012
United States,United States,10.1145/2397696.2397703,2012
United States,United States,10.1145/2397696.2397704,2012
United States,China,10.1145/2397696.2397704,2012
China,China,10.1145/2397696.2397704,2012
Australia,Australia,10.1145/2397696.2397705,2012
Australia,United States,10.1145/2397696.2397705,2012
Australia,China,10.1145/2397696.2397705,2012
United States,United States,10.1145/2397696.2397705,2012
United States,China,10.1145/2397696.2397705,2012
China,China,10.1145/2397696.2397705,2012
China,China,10.1145/2397696.2397706,2012
United States,United States,10.1145/2397696.2397707,2012
Macao,Macao,10.1145/2397696.2397708,2012
China,China,10.1145/2397696.2397709,2012
United States,United States,10.1145/2397696.2397710,2012
China,China,10.1145/2397696.2397711,2012
Australia,Australia,10.1145/2397696.2397712,2012
Australia,Taiwan,10.1145/2397696.2397712,2012
Taiwan,Taiwan,10.1145/2397696.2397712,2012
United States,United States,10.1145/2016656.2016657,2011
Macao,Macao,10.1145/2016656.2016658,2011
Japan,Japan,10.1145/2016656.2016659,2011
China,China,10.1145/2016656.2016660,2011
Japan,Japan,10.1145/2016656.2016661,2011
Japan,Japan,10.1145/2016656.2016662,2011
United States,United States,10.1145/2016656.2016663,2011
China,China,10.1145/2016656.2016664,2011
China,United States,10.1145/2016656.2016664,2011
United States,United States,10.1145/2016656.2016664,2011
Canada,Canada,10.1145/2016656.2016665,2011
China,China,10.1145/2016656.2016666,2011
China,China,10.1145/2016656.2016667,2011
China,Australia,10.1145/2016656.2016667,2011
Australia,Australia,10.1145/2016656.2016667,2011
United States,United States,10.1145/2016656.2016668,2011
Hong Kong,Hong Kong,10.1145/2016656.2016669,2011
Hong Kong,United States,10.1145/2016656.2016669,2011
Hong Kong,China,10.1145/2016656.2016669,2011
United States,United States,10.1145/2016656.2016669,2011
United States,China,10.1145/2016656.2016669,2011
China,China,10.1145/2016656.2016669,2011
United States,United States,10.1145/2016656.2016670,2011
United States,United States,10.1145/2016656.2016671,2011
United States,China,10.1145/2016656.2016671,2011
China,China,10.1145/2016656.2016671,2011
United States,United States,10.1145/2016656.2016672,2011
United States,United States,10.1145/1865841.1865843,2010
United States,United States,10.1145/1865841.1865844,2010
Australia,Australia,10.1145/1865841.1865845,2010
United Kingdom,United Kingdom,10.1145/1865841.1865846,2010
China,China,10.1145/1865841.1865848,2010
China,China,10.1145/1865841.1865849,2010
China,China,10.1145/1865841.1865850,2010
China,China,10.1145/1865841.1865853,2010
Australia,Australia,10.1145/1865841.1865854,2010
Canada,Canada,10.1145/1865841.1865856,2010
China,China,10.1145/1865841.1865857,2010
Malaysia,Malaysia,10.1145/1865841.1865858,2010
China,China,10.1145/1865841.1865860,2010
China,China,10.1145/1865841.1865861,2010
Australia,Australia,10.1145/1865841.1865862,2010
Australia,Australia,10.1145/1865841.1865864,2010
United States,United States,10.1145/1865841.1865865,2010
Japan,Japan,10.1145/1865841.1865866,2010
United States,United States,10.1145/1865841.1865868,2010
Macao,Macao,10.1145/1865841.1865869,2010
United States,United States,10.1145/1865841.1865870,2010
Switzerland,Switzerland,10.1145/3554944.3554948,2022
Austria,Austria,10.1145/3554944.3554949,2022
Norway,Norway,10.1145/3554944.3554950,2022
United States,United States,10.1145/3554944.3554951,2022
United States,China,10.1145/3554944.3554951,2022
United States,Hong Kong,10.1145/3554944.3554951,2022
China,China,10.1145/3554944.3554951,2022
China,Hong Kong,10.1145/3554944.3554951,2022
Hong Kong,Hong Kong,10.1145/3554944.3554951,2022
Canada,Canada,10.1145/3554944.3554952,2022
Japan,Japan,10.1145/3554944.3554953,2022
Germany,Germany,10.1145/3554944.3554971,2022
Germany,Germany,10.1145/3554944.3554947,2022
Germany,Germany,10.1145/3554944.3554945,2022
Ecuador,Ecuador,10.1145/3554944.3554957,2022
Norway,Norway,10.1145/3554944.3554958,2022
Switzerland,Switzerland,10.1145/3554944.3554959,2022
Switzerland,Netherlands,10.1145/3554944.3554959,2022
Netherlands,Netherlands,10.1145/3554944.3554959,2022
DC,DC,10.1145/3554944.3554954,2022
Germany,Germany,10.1145/3554944.3554970,2022
Germany,Chile,10.1145/3554944.3554970,2022
Chile,Chile,10.1145/3554944.3554970,2022
Germany,Germany,10.1145/3554944.3554956,2022
Switzerland,Switzerland,10.1145/3554944.3554960,2022
Germany,Germany,10.1145/3554944.3554961,2022
Switzerland,Switzerland,10.1145/3554944.3554962,2022
Denmark,Denmark,10.1145/3554944.3554963,2022
Denmark,United Kingdom,10.1145/3554944.3554963,2022
United Kingdom,United Kingdom,10.1145/3554944.3554963,2022
Switzerland,Switzerland,10.1145/3554944.3554964,2022
Switzerland,Switzerland,10.1145/3554944.3554966,2022
Switzerland,Switzerland,10.1145/3430036.3430053,2020
Switzerland,Netherlands,10.1145/3430036.3430053,2020
Netherlands,Netherlands,10.1145/3430036.3430053,2020
Switzerland,Switzerland,10.1145/3430036.3430052,2020
Germany,Germany,10.1145/3430036.3430050,2020
Germany,Germany,10.1145/3430036.3430038,2020
Japan,Japan,10.1145/3430036.3430059,2020
Switzerland,Switzerland,10.1145/3430036.3430061,2020
Switzerland,Germany,10.1145/3430036.3430061,2020
Germany,Germany,10.1145/3430036.3430061,2020
Switzerland,Switzerland,10.1145/3430036.3430043,2020
Japan,Japan,10.1145/3430036.3430056,2020
Switzerland,Switzerland,10.1145/3430036.3430049,2020
Germany,Germany,10.1145/3430036.3430047,2020
Germany,Germany,10.1145/3430036.3430045,2020
Switzerland,Switzerland,10.1145/3430036.3430044,2020
Switzerland,Switzerland,10.1145/3430036.3430064,2020
China,China,10.1145/3430036.3430068,2020
Germany,Germany,10.1145/3430036.3432753,2020
China,China,10.1145/3356422.3356446,2019
Germany,Germany,10.1145/3356422.3356425,2019
Switzerland,Switzerland,10.1145/3356422.3356423,2019
Australia,Australia,10.1145/3356422.3356450,2019
Australia,United Kingdom,10.1145/3356422.3356450,2019
Australia,Germany,10.1145/3356422.3356450,2019
United Kingdom,United Kingdom,10.1145/3356422.3356450,2019
United Kingdom,Germany,10.1145/3356422.3356450,2019
Germany,Germany,10.1145/3356422.3356450,2019
Germany,Germany,10.1145/3356422.3356444,2019
China,China,10.1145/3356422.3356430,2019
China,China,10.1145/3356422.3356449,2019
China,United States,10.1145/3356422.3356449,2019
United States,United States,10.1145/3356422.3356449,2019
China,China,10.1145/3356422.3356429,2019
Australia,Australia,10.1145/3356422.3356435,2019
Australia,Germany,10.1145/3356422.3356435,2019
Germany,Germany,10.1145/3356422.3356435,2019
Switzerland,Switzerland,10.1145/3356422.3356447,2019
Germany,Germany,10.1145/3356422.3356445,2019
China,China,10.1145/3356422.3356436,2019
China,China,10.1145/3356422.3356443,2019
United States,United States,10.1145/3356422.3356453,2019
